Event_ID,Timestamp,Plant,Production_Line,Machine_ID,Shift,Downtime_Reason,Downtime_Category,Downtime_Minutes,Production_Loss_Units,Cost_Per_Unit,Downtime_Cost,Operator_ID,Maintenance_Team,Planned_Flag
DT-119367,29/08/2023 18:00,Plant C,Line-2,M-01,Night,Safety Stop,Compliance,198,185,27,4995,OP-105,MT-2,0
DT-114630,18/11/2024 1:00,Plant B,Line-2,M-01,Night,Electrical Issue,Technical,217,252,29,7308,OP-117,MT-5,0
DT-115377,22/12/2023 15:00,Plant B,Line-2,M-01,Morning,Material Shortage,Supply Chain,224,186,41,7626,OP-129,MT-2,0
DT-119127,22/09/2024 11:00,Plant C,Line-3,M-01,Evening,Mechanical Failure,Technical,162,324,47,15228,OP-119,MT-2,0
DT-105009,16/01/2024 10:00,Plant C,Line-3,M-01,Morning,Electrical Issue,Technical,215,391,55,21505,OP-132,MT-3,0
DT-116956,05/09/2024 4:00,Plant C,Line-2,M-01,Night,Operator Error,Human,93,258,59,15222,OP-155,MT-1,0
DT-109828,11/04/2023 17:00,Plant C,Line-3,M-01,Morning,Unplanned Maintenance,Unplanned,185,255,37,9435,OP-141,MT-2,0
DT-111282,10/09/2023 23:00,Plant B,Line-2,M-01,Evening,Quality Issue,Quality,33,16,29,464,OP-158,MT-2,0
DT-112535,19/12/2024 13:00,Plant B,Line-3,M-01,Morning,Electrical Issue,Technical,334,330,15,4950,OP-151,MT-3,0
DT-115044,02/06/2023 19:00,Plant C,Line-2,M-01,Morning,Planned Maintenance,Planned,194,178,20,3560,OP-162,MT-4,1
DT-118003,24/09/2024 15:00,Plant B,Line-3,M-01,Night,Quality Issue,Quality,59,475,37,17575,OP-154,MT-5,0
DT-118926,05/02/2024 0:00,Plant C,Line-3,M-01,Evening,Power Outage,External,78,242,58,14036,OP-168,MT-3,0
DT-115782,02/05/2024 14:00,Plant B,Line-2,M-01,Night,Operator Error,Human,232,235,33,7755,OP-191,MT-4,0
DT-104430,09/11/2023 5:00,Plant B,Line-3,M-01,Evening,Safety Stop,Compliance,279,5,30,150,OP-175,MT-2,0
DT-107832,26/06/2024 9:00,Plant C,Line-3,M-01,Night,Quality Issue,Quality,87,34,30,1020,OP-175,MT-3,0
DT-106200,01/04/2023 1:00,Plant C,Line-2,M-01,Evening,Planned Maintenance,Planned,55,87,32,2784,OP-212,MT-4,1
DT-107919,31/05/2024 15:00,Plant B,Line-3,M-01,Evening,Electrical Issue,Technical,264,253,16,4048,OP-181,MT-2,0
DT-102718,29/08/2023 16:00,Plant C,Line-3,M-01,Morning,Operator Error,Human,192,146,19,2774,OP-200,MT-1,0
